解	S
放	S
军	S
报	S
:	S
美	S
借	S
美	S
菲	S
军	S
演	S
搅	S
乱	S
南	S
海	S
局	S
势	S
意	S
图	S
曝	S
光	S
2	B
0	I
1	I
2	I
年	I
0	I
4	I
月	I
2	I
2	I
日	E
1	B
4	I
:	I
2	I
9	I
:	I
0	I
5	E
来	S
源	S
：	S
解	S
放	S
军	S
报	S
新	S
华	S
微	S
博	S
分	S
享	S
到	S
腾	S
讯	S
微	S
博	S
分	S
享	S
到	S
Q	S
Q	S
空	S
间	S
分	S
享	S
到	S
新	S
浪	S
微	S
博	S
【	S
字	S
号	S
：	S
大	S
中	S
小	S
】	S
【	S
打	S
印	S
】	S
【	S
纠	S
错	S
】	S
美	S
国	S
和	S
菲	S
律	S
宾	S
举	S
行	S
的	S
“	S
肩	S
并	S
肩	S
”	S
2	S
0	S
1	S
2	S
联	S
合	S
军	S
事	S
演	S
习	S
正	S
在	S
菲	S
律	S
宾	S
巴	S
拉	S
望	S
岛	S
以	S
西	S
海	S
域	S
上	S
演	S
。	S

“	S
肩	S
并	S
肩	S
”	S
演	S
习	S
是	S
美	S
菲	S
之	S
间	S
年	S
度	S
例	S
行	S
的	S
军	S
事	S
演	S
习	S
，	S
今	S
年	S
是	S
第	S
2	S
8	S
次	S
，	S
但	S
今	S
年	S
的	S
军	S
演	S
无	S
论	S
是	S
演	S
习	S
地	S
点	S
、	S
军	S
力	S
规	S
模	S
，	S
还	S
是	S
演	S
习	S
课	S
目	S
设	S
置	S
和	S
参	S
演	S
国	S
家	S
范	S
围	S
，	S
都	S
有	S
变	S
化	S
和	S
升	S
级	S
。	S

虽	S
然	S
两	S
国	S
宣	S
称	S
军	S
演	S
旨	S
在	S
加	S
强	S
两	S
国	S
在	S
应	S
对	S
恐	S
怖	S
主	S
义	S
、	S
海	S
盗	S
、	S
走	S
私	S
及	S
自	S
然	S
灾	S
害	S
等	S
方	S
面	S
的	S
合	S
作	S
，	S
但	S
分	S
析	S
人	S
士	S
认	S
为	S
，	S
美	S
菲	S
两	S
国	S
借	S
军	S
演	S
搭	S
台	S
唱	S
武	S
戏	S
，	S
意	S
在	S
彼	S
此	S
借	S
重	S
、	S
相	S
互	S
拉	S
拢	S
，	S
进	S
一	S
步	S
搅	S
动	S
南	S
海	S
局	S
势	S
。	S

细	S
看	S
今	S
年	S
的	S
美	S
菲	S
“	S
肩	S
并	S
肩	S
”	S
演	S
习	S
，	S
较	S
往	S
年	S
有	S
诸	S
多	S
明	S
显	S
变	S
化	S
。	S

从	S
双	S
方	S
投	S
入	S
兵	S
力	S
上	S
看	S
，	S
菲	S
律	S
宾	S
作	S
为	S
东	S
道	S
主	S
出	S
动	S
了	S
2	S
3	S
0	S
0	S
人	S
，	S
而	S
美	S
军	S
参	S
演	S
兵	S
力	S
多	S
达	S
4	S
5	S
0	S
0	S
人	S
，	S
是	S
美	S
国	S
参	S
加	S
历	S
届	S
“	S
肩	S
并	S
肩	S
”	S
联	S
演	S
出	S
动	S
兵	S
力	S
最	S
多	S
的	S
一	S
次	S
，	S
足	S
见	S
美	S
国	S
的	S
重	S
视	S
程	S
度	S
。	S

从	S
演	S
习	S
地	S
点	S
来	S
看	S
，	S
“	S
肩	S
并	S
肩	S
”	S
演	S
习	S
的	S
两	S
栖	S
作	S
战	S
等	S
实	S
战	S
课	S
目	S
安	S
排	S
在	S
菲	S
律	S
宾	S
巴	S
拉	S
望	S
岛	S
以	S
西	S
海	S
域	S
进	S
行	S
，	S
逼	S
近	S
中	S
国	S
南	S
沙	S
群	S
岛	S
，	S
属	S
于	S
争	S
端	S
频	S
发	S
区	S
域	S
。	S

从	S
演	S
习	S
课	S
目	S
来	S
看	S
，	S
今	S
年	S
的	S
演	S
习	S
内	S
容	S
除	S
了	S
前	S
面	S
提	S
到	S
的	S
两	S
栖	S
作	S
战	S
，	S
还	S
包	S
括	S
一	S
项	S
所	S
谓	S
“	S
反	S
恐	S
”	S
性	S
质	S
的	S
油	S
气	S
平	S
台	S
攻	S
占	S
演	S
练	S
，	S
可	S
谓	S
贴	S
合	S
南	S
海	S
主	S
权	S
争	S
议	S
的	S
“	S
现	S
实	S
需	S
要	S
”	S
。	S

而	S
从	S
参	S
演	S
国	S
家	S
来	S
看	S
，	S
此	S
次	S
联	S
合	S
军	S
演	S
突	S
破	S
了	S
以	S
往	S
单	S
纯	S
美	S
菲	S
合	S
作	S
的	S
框	S
架	S
，	S
日	S
本	S
、	S
韩	S
国	S
、	S
澳	S
大	S
利	S
亚	S
等	S
国	S
军	S
队	S
将	S
参	S
加	S
桌	S
面	S
模	S
拟	S
演	S
习	S
，	S
来	S
自	S
越	S
南	S
、	S
新	S
加	S
坡	S
等	S
国	S
家	S
的	S
代	S
表	S
将	S
参	S
加	S
模	S
拟	S
指	S
挥	S
演	S
习	S
。	S
2	B
0	I
1	I
1	I
年	E
我	S
国	S
受	S
旱	S
范	S
围	S
较	S
广	S
,	S
夏	B
秋	B
季	S
节	S
，	S
西	S
南	S
大	S
部	S
降	S
雨	S
持	S
续	S
偏	S
少	S
，	S
江	S
河	S
来	S
水	S
不	S
断	S
减	S
少	S
，	S
水	S
利	S
工	S
程	S
蓄	S
水	S
严	S
重	S
不	S
足	S
，	S
发	S
生	S
了	S
严	S
重	S
的	S
伏	S
秋	S
旱	S
。	S

9	B
月	E
上	B
中	I
旬	E
旱	S
情	S
高	S
峰	S
时	S
，	S
贵	S
州	S
、	S
云	S
南	S
、	S
四	S
川	S
、	S
重	S
庆	S
、	S
广	S
西	S
等	S
西	S
南	S
5	S
省	S
(	S
区	S
、	S
市	S
)	S
耕	S
地	S
受	S
旱	S
面	S
积	S
5	S
1	S
1	S
8	S
万	S
亩	S
，	S
有	S
1	S
4	S
0	S
5	S
万	S
人	S
、	S
6	S
8	S
2	S
万	S
头	S
大	S
牲	S
畜	S
因	S
旱	S
饮	S
水	S
困	S
难	S
。	S

贵	S
州	S
和	S
云	S
南	S
旱	S
情	S
尤	S
为	S
严	S
重	S
，	S
两	S
省	S
耕	S
地	S
受	S
旱	S
面	S
积	S
为	S
3	S
7	S
0	S
1	S
万	S
亩	S
，	S
因	S
旱	S
饮	S
水	S
困	S
难	S
人	S
口	S
和	S
大	S
牲	S
畜	S
分	S
别	S
达	S
9	S
7	S
7	S
万	S
和	S
4	S
3	S
6	S
万	S
。	S
2	B
0	I
0	I
4	I
年	E
东	S
北	S
三	S
省	S
遭	S
受	S
严	S
重	S
的	S
春	S
夏	S
连	S
旱	S
2	B
0	I
0	I
4	I
年	E
我	S
国	S
降	S
水	S
量	S
较	S
常	S
年	S
稍	S
偏	S
少	S
，	S
其	S
中	S
海	S
南	S
、	S
广	S
东	S
、	S
江	S
苏	S
、	S
广	S
西	S
、	S
陕	S
西	S
、	S
福	S
建	S
、	S
江	S
西	S
、	S
甘	S
肃	S
、	S
宁	S
夏	S
等	S
省	S
(	S
区	S
)	S
降	S
水	S
量	S
较	S
常	S
年	S
偏	S
少	S
1	S
-	S
3	S
成	S
，	S
另	S
外	S
，	S
黑	S
龙	S
江	S
、	S
吉	S
林	S
