解	S	S
放	S	S
军	S	S
报	S	S
:	S	S
美	S	S
借	S	S
美	S	S
菲	S	S
军	S	S
演	S	S
搅	S	S
乱	S	S
南	S	S
海	S	S
局	S	S
势	S	S
意	S	S
图	S	S
曝	S	S
光	S	S
2	B	B
0	I	I
1	I	I
2	I	I
年	I	I
0	I	I
4	I	I
月	I	I
2	I	I
2	I	I
日	E	E
1	B	B
4	I	I
:	I	I
2	I	I
9	I	I
:	I	I
0	I	I
5	E	E
来	S	S
源	S	S
：	S	S
解	S	S
放	S	S
军	S	S
报	S	S
新	S	S
华	S	S
微	S	S
博	S	S
分	S	S
享	S	S
到	S	S
腾	S	S
讯	S	S
微	S	S
博	S	S
分	S	S
享	S	S
到	S	S
Q	S	S
Q	S	S
空	S	S
间	S	S
分	S	S
享	S	S
到	S	S
新	S	S
浪	S	S
微	S	S
博	S	S
【	S	S
字	S	S
号	S	S
：	S	S
大	S	S
中	S	S
小	S	S
】	S	S
【	S	S
打	S	S
印	S	S
】	S	S
【	S	S
纠	S	S
错	S	S
】	S	S
美	S	S
国	S	S
和	S	S
菲	S	S
律	S	S
宾	S	S
举	S	S
行	S	S
的	S	S
“	S	S
肩	S	S
并	S	S
肩	S	S
”	S	S
2	S	S
0	S	S
1	S	S
2	S	S
联	S	S
合	S	S
军	S	S
事	S	S
演	S	S
习	S	S
正	S	S
在	S	S
菲	S	S
律	S	S
宾	S	S
巴	S	S
拉	S	S
望	S	S
岛	S	S
以	S	S
西	S	S
海	S	S
域	S	S
上	S	S
演	S	S
。	S	S

“	S	S
肩	S	S
并	S	S
肩	S	S
”	S	S
演	S	S
习	S	S
是	S	S
美	S	S
菲	S	S
之	S	S
间	S	S
年	S	S
度	S	S
例	S	S
行	S	S
的	S	S
军	S	S
事	S	S
演	S	S
习	S	S
，	S	S
今	S	S
年	S	S
是	S	S
第	S	S
2	S	S
8	S	S
次	S	S
，	S	S
但	S	S
今	S	S
年	S	S
的	S	S
军	S	S
演	S	S
无	S	S
论	S	S
是	S	S
演	S	S
习	S	S
地	S	S
点	S	S
、	S	S
军	S	S
力	S	S
规	S	S
模	S	S
，	S	S
还	S	S
是	S	S
演	S	S
习	S	S
课	S	S
目	S	S
设	S	S
置	S	S
和	S	S
参	S	S
演	S	S
国	S	S
家	S	S
范	S	S
围	S	S
，	S	S
都	S	S
有	S	S
变	S	S
化	S	S
和	S	S
升	S	S
级	S	S
。	S	S

虽	S	S
然	S	S
两	S	S
国	S	S
宣	S	S
称	S	S
军	S	S
演	S	S
旨	S	S
在	S	S
加	S	S
强	S	S
两	S	S
国	S	S
在	S	S
应	S	S
对	S	S
恐	S	S
怖	S	S
主	S	S
义	S	S
、	S	S
海	S	S
盗	S	S
、	S	S
走	S	S
私	S	S
及	S	S
自	S	S
然	S	S
灾	S	S
害	S	S
等	S	S
方	S	S
面	S	S
的	S	S
合	S	S
作	S	S
，	S	S
但	S	S
分	S	S
析	S	S
人	S	S
士	S	S
认	S	S
为	S	S
，	S	S
美	S	S
菲	S	S
两	S	S
国	S	S
借	S	S
军	S	S
演	S	S
搭	S	S
台	S	S
唱	S	S
武	S	S
戏	S	S
，	S	S
意	S	S
在	S	S
彼	S	S
此	S	S
借	S	S
重	S	S
、	S	S
相	S	S
互	S	S
拉	S	S
拢	S	S
，	S	S
进	S	S
一	S	S
步	S	S
搅	S	S
动	S	S
南	S	S
海	S	S
局	S	S
势	S	S
。	S	S

细	S	S
看	S	S
今	S	S
年	S	S
的	S	S
美	S	S
菲	S	S
“	S	S
肩	S	S
并	S	S
肩	S	S
”	S	S
演	S	S
习	S	S
，	S	S
较	S	S
往	S	S
年	S	S
有	S	S
诸	S	S
多	S	S
明	S	S
显	S	S
变	S	S
化	S	S
。	S	S

从	S	S
双	S	S
方	S	S
投	S	S
入	S	S
兵	S	S
力	S	S
上	S	S
看	S	S
，	S	S
菲	S	S
律	S	S
